state,county,candidate,party,candidate votes,total votes
california,san benito,Hillary Clinton,democrat,12521,21924
california,san benito,Donald Trump,republican,7841,21924
california,san benito,Other,NA,1562,21924
california,san bernardino,Hillary Clinton,democrat,340833,653983
california,san bernardino,Donald Trump,republican,271240,653983
california,san bernardino,Other,NA,41910,653983
california,san diego,Hillary Clinton,democrat,735476,1306400
california,san diego,Donald Trump,republican,477766,1306400
california,san diego,Other,NA,93158,1306400
california,san francisco,Hillary Clinton,democrat,345084,405792
california,san francisco,Donald Trump,republican,37688,405792
california,san francisco,Other,NA,23020,405792
california,san joaquin,Hillary Clinton,democrat,121124,224166
california,san joaquin,Donald Trump,republican,88936,224166
california,san joaquin,Other,NA,14106,224166
california,san luis obispo,Hillary Clinton,democrat,67107,135009
california,san luis obispo,Donald Trump,republican,56164,135009
california,san luis obispo,Other,NA,11738,135009
california,san mateo,Hillary Clinton,democrat,237882,314384
